,SCREEN_ID,SCREEN_SIZE_INCH,COLOR,WIDTH_DISPLAY,HEIGHT_DISPLAY
4077,S4077,14.0,other,1920,1080
4078,S4078,8.43,other,1920,1080
4079,S4079,13.3,other,1920,1080
4080,S4080,14.0,other,1920,1080
4081,S4081,14.0,black,1280,720
4082,S4082,8.43,black,1920,1080
4083,S4083,8.43,other,1920,1080
4084,S4084,12.5,black,1920,1080
4085,S4085,8.43,other,1920,1080
4086,S4086,8.43,other,1920,1080
4087,S4087,14.0,other,1280,720
4088,S4088,8.43,other,1920,1080
4089,S4089,14.0,other,1920,1080
4090,S4090,14.0,black,1366,768
4091,S4091,12.5,other,1280,720
4092,S4092,14.0,black,1280,720
4093,S4093,14.0,other,1280,720
4094,S4094,8.43,other,1920,1080
4095,S4095,14.0,other,1920,1080
4096,S4096,14.0,black,1366,768
4097,S4097,15.6,other,1280,720
4098,S4098,12.5,other,1280,720
4099,S4099,8.43,other,1920,1080
4100,S4100,15.6,other,1280,720
4101,S4101,8.43,other,1920,1080
4102,S4102,14.0,black,1366,768
4103,S4103,8.43,other,1920,1080
4104,S4104,8.43,other,1920,1080
4105,S4105,8.43,other,1920,1080
4106,S4106,8.43,other,1920,1080
4107,S4107,8.43,other,1920,1080
4108,S4108,8.43,other,1920,1080
4109,S4109,8.43,other,1920,1080
4110,S4110,14.0,black,1366,768
4111,S4111,14.0,other,1280,720
4112,S4112,8.43,other,1920,1080
4113,S4113,14.0,black,1280,720
4114,S4114,12.5,other,1920,1080
4115,S4115,8.43,other,1920,1080
4116,S4116,14.0,other,1280,720
4117,S4117,8.43,other,1920,1080
4118,S4118,8.43,other,1920,1080
4119,S4119,8.43,other,1024,768
4120,S4120,8.43,other,1920,1080
4121,S4121,8.43,other,1920,1080
4122,S4122,13.3,other,1366,768
4123,S4123,8.43,other,1920,1080
4124,S4124,8.43,other,1920,1080
4125,S4125,8.43,black,1920,1080
4126,S4126,14.0,black,1280,720
4127,S4127,14.0,other,1920,1080
4128,S4128,11.6,other,1366,768
4129,S4129,8.43,other,1920,1080
4130,S4130,16.0,black,1920,1200
4131,S4131,15.4,other,1920,1080
4132,S4132,14.0,black,1366,768
4133,S4133,8.43,other,1920,1080
4134,S4134,8.43,other,1920,1080
4135,S4135,8.43,other,1920,1080
4136,S4136,8.43,other,1920,1080
4137,S4137,14.0,black,1366,768
4138,S4138,10.8,other,1920,1080
4139,S4139,8.43,other,1920,1080
4140,S4140,8.43,other,1920,1080
4141,S4141,8.43,black,1920,1080
4142,S4142,15.6,other,1280,720
4143,S4143,8.43,other,1920,1080
4144,S4144,8.43,other,1920,1080
4145,S4145,8.43,other,1920,1080
4146,S4146,8.43,other,1920,1080
4147,S4147,8.43,other,1920,1080
4148,S4148,14.0,black,1280,720
4149,S4149,14.0,other,1280,720
4150,S4150,14.0,other,1920,1080
4151,S4151,8.43,other,1920,1080
4152,S4152,8.43,other,1920,1080
4153,S4153,8.43,black,1920,1080
4154,S4154,13.3,white,1920,1080
4155,S4155,8.43,other,1920,1080
4156,S4156,8.43,other,1920,1080
4157,S4157,8.43,other,1920,1080
4158,S4158,8.43,other,1920,1080
4159,S4159,8.43,other,1920,1080
4160,S4160,8.43,other,1920,1080
