,Price,Width of the Display,Height of the Display,Hard Drive Capacity,SSD Capacity,Ram Size,Processor Speed
98,73,,,,,,
99,389.8,1280,720,,480,,
100,107.44,,,,,,
101,1179,,,,,,
102,300,1366,768,,256,12,2
103,69,1280,800,,240,3,2
104,244.8,1366,768,,256,16,1.6
105,10.52,,,,,,
106,370,1920,1080,,256,8,1.6
107,270,1920,1200,,256,8,1.2
108,64.6,,,,,,
109,65.06,,,,,,
110,61.6,,,,,,
111,26.05,,,,,,
112,384.5,1280,720,,480,,2.6
113,13.02,,,,,,
114,24.25,,,,,,
115,470.5,1920,1080,,240,,2.8
116,90,1920,1080,128,128,4,1.1
117,420,,,256,256,8,
118,7.26,,,,,,
119,199,,,,128,8,1.2
120,200,2256,1504,256,256,8,2.5
121,390,1920,1080,256,256,8,2.4
122,582.5,,,,,,
123,42.3,,,,,,
124,405.5,1280,720,,240,,3
125,298.8,,,,,,
126,81.4,,,,,,
127,380,,,,,,
128,125,1280,800,160,,3,2
129,111.5,,,,,,
130,78.2,,,,,,
131,32.56,,,,,,
132,250,1920,1080,256,256,8,2.1
133,344.5,,,,,,
134,405.5,1280,720,,240,,3
135,140,1366,768,64,64,4,1.1
136,759,1920,1080,256,256,8,
137,1197,1920,1200,,512,16,1.7
138,400,,,,,,
139,96.56,,,,,,
140,26.16,,,,,,
141,425.5,,,,,,
142,461.8,1280,720,500,120,,3
143,216,,,,,,
144,487.5,1920,1080,,240,,2.8
145,449.2,,,,,,
146,487.2,,,,,,
147,530,,,,,,
148,354,,,,,,
149,859,,,,,,
150,1724,,,,,,
151,812,,,,,,
152,70.3,,,,,,
153,22.34,,,,,,
154,269.5,,,,,4,2.5
155,92.1,,,,,,
156,240.2,,,,,,
157,357,,,,,,
158,436,1280,720,,240,,3
159,144,1600,900,240,,4,2.5
160,430.2,1920,1080,,240,,2.8
161,276.5,,,,,,
162,165,,,,,,
163,323.8,1280,720,,120,,2.6
164,88.7,,,,,,
165,110.06,,,,,,
166,475.5,,,,,,
167,48.84,,,,,,
168,627,,,,,,
169,443.8,1920,1080,,240,,2.3
170,650.5,,,,,,
171,94.1,,,,,,
172,269.2,,,,,,
173,425.2,,,,,,
174,546.5,,,,,,
175,1752,,,,,,
176,2108,,,,,,
177,93.75,,,,,,
178,81.9,,,,,,
179,113.75,,,,,,
180,358.8,,,,,,
181,301.5,,,,,,
182,103.2,,,,,,
183,108.06,,,,,,
184,91.2,,,,,,
185,106.56,,,,,,
186,85.75,,,,,,
187,93.25,,,,,,
188,81.6,,,,,,
189,41.5,,,,,,
190,296.8,,,,,,
191,84.2,,,,,,
192,75,,,200,,4,2.7
193,166.2,,,,,,
194,456.8,1280,720,,120,,3
195,959,,,,,,
196,27.12,,,,,,
197,314.5,1280,720,,240,,2.6
198,400.2,,,,,8,2.3
199,214.8,1366,768,,240,8,1.6
200,708,,,,480,,3
201,326.2,,,,,,
