,PROCESSOR_ID,PROCESSOR,PROCESSOR_SPEED,PROCESSOR_SPEED_UNIT
689,P689,undefined,0.0,unknown
690,P690,not applicable,0.0,unknown
691,P691,intel core i7 7th gen,2.8,GHz
692,P692,intel core i5 â€‹â€‹12th generation,4.0,GHz
693,P693,undefined,0.0,unknown
694,P694,not applicable,0.0,unknown
695,P695,inter core i7 8550u,1.8,GHz
696,P696,not applicable,0.0,unknown
697,P697,undefined,0.0,unknown
698,P698,undefined,0.0,unknown
699,P699,intel core i5 3rd generation,0.0,unknown
700,P700,undefined,0.0,unknown
701,P701,intel core i3 6th generation,3.0,GHz
702,P702,undefined,0.0,unknown
703,P703,core i5 5300u 2.30 ghz,2.3,GHz
